Date,Date2,Open,High,Low,Close
2011-09-30,40816,55.3,55.56,54.45,54.47
2011-10-03,40819,54.34,54.66,53.31,53.51
2011-10-04,40820,53.51,54.54,50.61,53.21
2011-10-05,40821,52.55,54.26,51.47,54.04
2011-10-06,40822,53.33,54.97,53.11,53.91
2011-10-07,40823,53.68,53.96,52.64,52.83
2011-10-10,40826,54.16,55.54,54.03,55.54
2011-10-11,40827,56.08,57.6,55.93,57.18
2011-10-12,40828,58.19,58.46,57.16,57.46
2011-10-13,40829,57.85,58.35,57.55,58.35
2011-10-14,40830,59.55,60.29,59.32,60.29
2011-10-17,40833,60.25,60.96,59.42,60
2011-10-18,40834,60.25,60.69,59.43,60.32
2011-10-19,40835,57.34,58.35,56.83,56.95
2011-10-20,40836,57.14,57.19,56.32,56.47
2011-10-21,40837,56.87,57.02,55.82,56.12
2011-10-24,40840,56.6,58.07,56.49,57.97
2011-10-25,40841,57.86,58.08,56.77,56.82
2011-10-26,40842,57.39,57.51,56.16,57.23
2011-10-27,40843,58.22,58.43,57.41,57.81
2011-10-28,40844,57.57,58.05,57.5,57.85
2011-10-31,40847,57.49,58.48,57.29,57.83
2011-11-01,40848,56.77,57.07,56.17,56.64
2011-11-02,40849,57.16,57.21,56.44,56.77
2011-11-03,40850,57.01,57.63,56.48,57.58
2011-11-04,40851,57.43,57.63,57.02,57.18
2011-11-07,40854,57.13,57.14,56.59,57.1
2011-11-08,40855,57.46,58.29,57.37,58.03
2011-11-09,40856,56.71,57.27,56.32,56.47
2011-11-10,40857,56.72,56.74,54.59,55.03
2011-11-11,40858,55.23,55.53,54.32,54.95
2011-11-14,40861,54.79,55.04,54.03,54.18
2011-11-15,40862,54.4,55.64,54.21,55.55
2011-11-16,40863,55.61,55.88,54.9,54.97
2011-11-17,40864,54.85,54.94,53.64,53.92
2011-11-18,40865,54.13,54.28,53.55,53.56
2011-11-21,40868,52.91,53.1,52.27,52.72
2011-11-22,40869,53,53.99,52.99,53.79
2011-11-23,40870,53.5,53.69,52.41,52.43
2011-11-25,40872,52.63,53.02,51.9,51.94
2011-11-28,40875,53.19,53.82,52.9,53.73
2011-11-29,40876,53.69,54.12,52.89,53.31
2011-11-30,40877,54.47,54.61,54.04,54.6
2011-12-01,40878,54.65,55.57,54.39,55.42
2011-12-02,40879,55.69,56.23,55.51,55.67
2011-12-05,40882,56.21,56.63,55.77,56.14
2011-12-06,40883,56.07,56.38,55.63,55.85
2011-12-07,40884,55.7,55.85,55.25,55.58
2011-12-08,40885,55.92,56.5,55.75,55.81
2011-12-09,40886,56.12,56.29,55.86,56.23
2011-12-12,40889,55.95,56.27,55.64,55.98
2011-12-13,40890,56.14,56.49,55.3,55.54
2011-12-14,40891,55.24,55.34,53.95,54.31
2011-12-15,40892,54.76,54.82,54.04,54.13
2011-12-16,40893,54.34,54.88,54.22,54.43
2011-12-19,40896,54.64,54.98,54.35,54.6
2011-12-20,40897,55.39,56.59,55.32,56.56
2011-12-21,40898,56.67,56.76,56,56.63
2011-12-22,40899,56.71,57.02,56.59,56.94
2011-12-23,40900,57.1,57.66,57.07,57.62
2011-12-27,40904,57.59,58.44,57.57,58.08
2011-12-28,40905,58.13,58.32,57.33,57.52
2011-12-29,40906,57.63,57.95,57.22,57.87
2011-12-30,40907,57.64,58.04,57.64,57.86
2012-01-03,40911,58.49,58.93,58.43,58.75
2012-01-04,40912,58.57,59.24,58.47,59.06
2012-01-05,40913,59.28,59.79,58.95,59.72
2012-01-06,40914,59.97,60.39,59.89,60.34
2012-01-09,40917,60.79,61.11,60.19,60.25
2012-01-10,40918,60.84,60.86,60.21,60.46
2012-01-11,40919,60.38,60.41,59.9,60.36
2012-01-12,40920,60.33,60.41,59.82,60.2
2012-01-13,40921,59.96,60.06,59.81,59.97
2012-01-17,40925,60.6,60.86,60.42,60.67
2012-01-18,40926,60.99,61.35,60.9,61.3
2012-01-19,40927,61.45,61.62,60.93,61.11
2012-01-20,40928,61.07,61.07,59.96,60.04
2012-01-23,40931,60.38,61.21,60.33,61.06
2012-01-24,40932,60.73,60.73,59.94,60.06
2012-01-25,40933,64.92,64.92,63.39,63.81
2012-01-26,40934,64.05,64.11,63.31,63.52
2012-01-27,40935,63.48,64.07,63.4,63.9
