Date,Date2,Open,High,Low,Close
2011-09-02,40788,11492.06,11492.14,11211.35,11240.26
2011-09-06,40792,11237.31,11237.46,10932.53,11139.3
2011-09-07,40793,11137.63,11414.86,11137.63,11414.86
2011-09-08,40794,11414.86,11477.3,11283.74,11295.81
2011-09-09,40795,11294.6,11294.83,10935.64,10992.13
2011-09-12,40798,10990.01,11062.03,10824.76,11061.12
2011-09-13,40799,11054.99,11140.85,10987.18,11105.85
2011-09-14,40800,11106.83,11386.78,10993.84,11246.73
2011-09-15,40801,11247.72,11433.4,11247.49,11433.18
2011-09-16,40802,11433.71,11532.47,11407.41,11509.09
2011-09-19,40805,11506.82,11506.82,11255.25,11401.01
2011-09-20,40806,11401.47,11550.22,11373.92,11408.66
2011-09-21,40807,11408.58,11447.86,11117.28,11124.84
2011-09-22,40808,11121.89,11122.12,10597.14,10733.83
2011-09-23,40809,10732.77,10808.49,10638.73,10771.48
2011-09-26,40812,10771.78,11057.49,10771.78,11043.86
2011-09-27,40813,11045.23,11369.3,11045.23,11190.69
2011-09-28,40814,11189.1,11317.08,10996.98,11010.9
2011-09-29,40815,11012.79,11271.14,10965.45,11153.98
2011-09-30,40816,11152.32,11152.39,10909.52,10913.38
2011-10-03,40819,10912.1,10979.19,10653.34,10655.3
2011-10-04,40820,10651.44,10825.44,10404.49,10808.71
2011-10-05,40821,10800.47,10950.89,10738.1,10939.95
2011-10-06,40822,10939.87,11132.6,10858.67,11123.33
2011-10-07,40823,11123.41,11232.05,11051.13,11103.12
2011-10-10,40826,11104.56,11433.33,11104.56,11433.18
2011-10-11,40827,11432.8,11447.86,11365.67,11416.3
2011-10-12,40828,11417.36,11625.3,11417.28,11518.85
2011-10-13,40829,11518.09,11518.09,11377.82,11478.13
2011-10-14,40830,11478.97,11646.83,11478.66,11644.49
2011-10-17,40833,11643.35,11643.35,11378.35,11397
2011-10-18,40834,11396.17,11652.74,11296.12,11577.05
2011-10-19,40835,11577.54,11633.7,11469.17,11504.62
2011-10-20,40836,11502.13,11581.25,11391.14,11541.78
2011-10-21,40837,11543.22,11812.46,11542.84,11808.79
2011-10-24,40840,11807.96,11940.75,11805.77,11913.62
2011-10-25,40841,11912.63,11912.86,11682.52,11706.62
2011-10-26,40842,11707.76,11891.21,11694.36,11869.04
2011-10-27,40843,11872.07,12284.31,11872.07,12208.55
2011-10-28,40844,12207.34,12251.92,12164.24,12231.11
2011-10-31,40847,12229.22,12229.29,11954.41,11955.01
2011-11-01,40848,11951.53,11951.76,11630.03,11657.96
2011-11-02,40849,11658.49,11876.83,11658.49,11836.04
2011-11-03,40850,11835.59,12065.93,11835.43,12044.47
2011-11-04,40851,12043.41,12043.49,11850.31,11983.24
2011-11-07,40854,11983.02,12074.44,11880.69,12068.39
2011-11-08,40855,12055.52,12187.51,12002.17,12170.18
2011-11-09,40856,12166.4,12166.4,11736.93,11780.94
2011-11-10,40857,11780.03,11961.14,11779.88,11893.86
2011-11-11,40858,11896.28,12179.72,11896.28,12153.68
2011-11-14,40861,12153,12170.56,12027.03,12078.98
2011-11-15,40862,12077.92,12165.11,12001.26,12096.16
2011-11-16,40863,12084.74,12109.03,11890.57,11905.59
2011-11-17,40864,11905.67,11948.43,11676.35,11770.73
2011-11-18,40865,11768.98,11854.81,11755.82,11796.16
2011-11-21,40868,11795.55,11795.7,11454.07,11547.31
2011-11-22,40869,11542.39,11571.75,11433.97,11493.72
2011-11-23,40870,11492.74,11492.82,11257.55,11257.55
2011-11-25,40872,11251.88,11361.47,11231.43,11231.65
2011-11-28,40875,11232.47,11562.1,11232.16,11523.01
2011-11-29,40876,11523.01,11624.01,11517.04,11555.63
2011-11-30,40877,11559.27,12045.68,11559.27,12045.68
2011-12-01,40878,12046.21,12062.64,11974.62,12020.03
2011-12-02,40879,12022.37,12146.68,12007.12,12019.42
2011-12-05,40882,12021.54,12186.53,12021.46,12097.83
2011-12-06,40883,12097.75,12215.71,12076.71,12150.13
2011-12-07,40884,12144.41,12257.67,12060.37,12196.37
2011-12-08,40885,12195.91,12195.91,11966.22,11997.7
2011-12-09,40886,11996.03,12212.83,11995.51,12184.26
2011-12-12,40889,12181.08,12181.38,11940.86,12021.39
2011-12-13,40890,12018.66,12147.7,11904.38,11954.94
2011-12-14,40891,11949.72,11950.02,11786.47,11823.48
2011-12-15,40892,11825.29,11967.84,11825.22,11868.81
2011-12-16,40893,11870.25,11968.18,11819.31,11866.39
2011-12-19,40896,11866.54,11925.88,11735.19,11766.26
2011-12-20,40897,11769.21,12117.13,11768.83,12103.58
2011-12-21,40898,12103.58,12119.7,11999.44,12107.74
2011-12-22,40899,12107.59,12182.71,12107.37,12169.65
2011-12-23,40900,12169.88,12297.44,12169.8,12294
