Date,Date2,Open,High,Low,Close
2012-05-17,41046,603.57,604.3,595.88,595.89
2012-05-18,41047,595.89,599,590.05,591.61
2012-05-21,41050,591.94,600.06,591.7,599.84
2012-05-22,41051,599.87,605.25,596.97,600
2012-05-23,41052,599.88,601.27,590.84,600.55
2012-05-24,41053,600.58,603.18,597.03,601.4
2012-05-25,41054,601.51,602.41,597.52,599.18
2012-05-29,41058,600.09,606.74,600.09,605.65
2012-05-30,41059,605.43,605.43,596.76,598.17
2012-05-31,41060,598.04,601.73,592.58,597.29
2012-06-01,41061,597.29,597.29,583.38,583.83
2012-06-04,41064,583.99,585.78,579.26,584.27
2012-06-05,41065,584.27,587.39,582.51,586.4
2012-06-06,41066,586.41,600.13,586.41,600.13
2012-06-07,41067,600.56,606.16,599.54,600.6
2012-06-08,41068,600.57,605.69,597.59,605.62
2012-06-11,41071,605.62,610.22,598.14,598.73
2012-06-12,41072,598.99,605.82,597.96,605.72
2012-06-13,41073,605.66,607.67,600.36,602.44
2012-06-14,41074,602.56,611.25,602.06,609
2012-06-15,41075,609.02,615.1,609.02,614.84
2012-06-18,41078,614.74,617.01,611.23,615.29
2012-06-19,41079,615.29,623.52,615.29,620.91
2012-06-20,41080,620.98,622.63,615.91,620.24
2012-06-21,41081,620.25,621.71,606.85,607.42
2012-06-22,41082,607.6,612.97,607.6,611.73
2012-06-25,41085,611.09,611.09,600.11,602.09
2012-06-26,41086,602.36,606.92,600.77,605.08
2012-06-27,41087,605.09,611.91,605.09,610.8
2012-06-28,41088,610.8,610.8,602.03,609.05
2012-06-29,41089,610.02,623.83,610.02,623.82
2012-07-02,41092,623.93,625.52,620.78,625.38
2012-07-03,41093,625.38,628.99,624.24,628.63
2012-07-05,41095,628.5,628.5,623.44,625.55
2012-07-06,41096,625.27,625.27,617.25,620.2
2012-07-09,41099,620.19,620.56,617.27,620.19
2012-07-10,41100,620.19,624.16,613.45,615.76
2012-07-11,41101,615.75,617.05,611.94,615.77
2012-07-12,41102,615.63,615.63,609.03,612.65
2012-07-13,41103,612.68,623.26,612.68,622.83
2012-07-16,41106,622.74,623.44,619.75,621.83
2012-07-17,41107,621.83,627.13,617.97,626.39
2012-07-18,41108,626.39,631.08,624.24,630.26
2012-07-19,41109,630.65,633.95,630.18,632.01
2012-07-20,41110,632.23,632.23,626.39,626.57
2012-07-23,41113,626.57,626.57,615.44,621.74
2012-07-24,41114,621.77,622.25,612.2,616.67
2012-07-25,41115,616.67,618.66,612.96,615.92
2012-07-26,41116,616.12,627.44,616.12,625.92
2012-07-27,41117,625.93,638.57,625.93,637.17
2012-07-30,41120,637.16,640,635.74,637.36
2012-07-31,41121,637.36,639.08,635.66,635.74
2012-08-01,41122,635.74,638.3,633.17,634.17
2012-08-02,41123,634.17,634.17,624.73,629.43
2012-08-03,41124,629.88,642.2,629.88,640.64
2012-08-06,41127,640.64,644.96,640.64,642.1
2012-08-07,41128,642.31,646.86,642.31,644.25
2012-08-08,41129,644.21,645.66,641.85,644.61
2012-08-09,41130,644.68,646.14,642.87,644.66
2012-08-10,41131,644.57,646.25,641.27,646.22
2012-08-13,41134,646.34,646.34,642.63,645.58
2012-08-14,41135,645.7,648.78,644.45,645.96
2012-08-15,41136,645.96,647.29,645.12,646.13
2012-08-16,41137,646.13,651.56,645.69,650.58
2012-08-17,41138,650.58,651.83,650.13,651.58
